Francais,Lingala
J'ai assisté à la réunion même si mon père m'avait dit de ne pas le faire.,Na lingui na lobéla yo likambo moko boyé.
Les garçons posent des questions.,Bána ya mibáli baákozóngisa na mitúna.
Elle fut parfaite.,Azalákí elámu penzá.
Sois réaliste !,Zala ná esáleli !
L'arbre qui couvre le soleil ne s'abat pas.,"Nzeté óyo ebíkisa yɔ̌ mói ná elanga, bakátaka yangó tɛ́."
Fais le tant que père est vivant.,Sala yangó na ntángo tatá azalí na bomɔi.
La voiture de père est grise.,Mótuka bwa tatá eza mombwé.
Le concours de l'État portera sur les angles aigus et les angles obtus.,Momekano mwa lɛ́ta ekozala ná mitúnu mipótú mpɛ́ mitúnu botúnú.
"Vieux balai sait tous les coins d’une chambre, mais le nouveau nettoie mieux.",Likɔ́mbɔ ya kala eyebí bitutú niɔ́nsɔ ya súku mɔ̌kɔ́ kasi óyo ya siká ekɔmbela koleka.
Tu es toi.,Ozali yɔ̌.
Bonjour !,Mbɔ́tɛ !
Écoute !,Yóka !
Non.,Tɛ́.
Parle !,Loba !
Parlez !,Loba !
Idem.,Pelamoko.
Bonjour Docteur !,Mbɔ́tɛ Mónganga !
Il ment.,Azakokósa.
Il ment.,Azokósa
Je sais.,Nayébi.
Mon cousin est le tailleur qui se trouve derrière l'école.,Ndeko na ngáí azalí montongi óyo azalí nsima ya etéyelo.
Oust !,Longwa !
Oust !,Ssú !
Impossible !,Mpámba !
Impossible !,Ekoki tɛ́ !
Attention !,Kéba !
Silence !,Kímyá !
Silence !,Kímiá !
Dingue !,Dɛ́ngɛ́ !
Dommage.,Libomí.
Adieu !,Esɛsɛli !
Je ne sais pas.,Nayebi te.
Tu voulais me parler de liberté ?,Olingaki koloba na ngai mpo na bonsomi ?
Je n'ai rien de mieux à faire.,Nazali na eloko mosusu ya malamu koleka te mpo nakosala.
J'ai commencé à apprendre le chinois la semaine dernière.,Nabandaki koyekola lokota ya chinois uta mposo eleki.
J'ai la peau extrêmement blanche et je ne bronze pas du tout.,Nazali na loposo pembe makasi mpe na mitikaka na nse ya moyi te.
Je devais rencontrer quelqu'un pour des affaires.,Esengelaki na kutana na moto moko mpona mombongo.
J'ai besoin de ça.,Nazali na mposa na yango.
J'étais impliqué dans une dispute insignifiante.,Na kotisamaki na ko swana oyo eza na tina te.
Mon oncle est un joueur de cricket amateur.,Noko na ngai azali mobeti ya lisano ya cricket kasi ezali mosala naye te.
C'était hier matin que j'avais vu M. Carter.,Ezalaki lobi na tongo nde namonaki M. Carter.
Une cérémonie d'adieu fut tenue en l'honneur de monsieur Jones hier.,Nteke ya bokabwani ya libela esalemaki na tina ya ndeko mobali Jones lobi.
"Ce soir, mangeons dehors.","Na mpokwa ya lelo, tokende koliya libanda."
L'avez-vous vu à la gare ce matin ?,Omonaki ye na gare na ntongo ya lelo?
"Au son du sifflet, le bateau commença à s'éloigner du port.","Soki piololo ebeti, masuwa ebandi ko tangwa mosika na libongo."
Il quitta son équipe car il ne s'entendait pas avec l'entraîneur.,Alongwaki ekipi na ye mpo azalaki koyokana na molakisi te.
Tout le monde a adopté une attitude hostile envers les immigrés clandestins.,Bato nyonso bakomaki na bizaleli ya kanda epayi ya ba paya oyo ba yingeli mboka na lolenge ya nkunku.
Notre dette totale s'élève à dix mille dollars.,Niongo na biso nyonso ezali ya motuya ya dollars nkóto zomi.
"Madame, puis-je prendre vos mensurations ?","Mwasi, nakoki kozwa ba makila ya sanza na yo?"
Un dollar est égal à cent cents.,Dollar moko ezali kokokana na centimes nkama.
Résumez ce passage en 200 mots.,Koma makomi oyo na bokuse na maloba nkámá míbalé.
M. Adams a été idiot de donner son accord sur la proposition.,M. Adams azalaki zoba lolenge andimaki likanisi wana.
Je suis de ton avis.,Nandimi makanisi na yo.
Je te donnerai tout ce que tu veux.,Nakopesa yo nyonso oyo olingi.
Tout ce que tu as à faire c'est t'asseoir là et répondre aux questions du médecin.,Oyo esengeli na yo kosala ezali kovanda kuna mpe koyanola na mituna ya monganga.
"Toutes choses égales par ailleurs, le résultat est meilleur que je ne l'espérais.","Biloko nyoso na bokokani bisika mosusu, eyano ezali malamu koleka ndenge na likyaki."
Un Canadien de 19 ans a battu le record du monde le mois dernier pour un aller-retour sans arrêt à la nage à travers la Manche.,Canadien moko ya mbula zomi na libwa a bimaki molongaki ya mboko nzaza eleki mpo na kokende -kozonga nakotika te kobeta mai na maboko
"Il y a un professeur qui affirme que si Alex utilise bien des mots, ce serait une grossière erreur d'appeler cela un langage.","Kozali moteyi moko oyo azo loba polele ete soki Alex asaleli maloba oyo malamu, eko zala libunga monene yako benga yango mangala."
"Alex décrirait correctement l'objet et sa couleur, même s'il ne l'avait jamais vu auparavant.","Alex akotalisa malamu eloko yango na langi nayango, ata soki nanu amona yango te."
Je pense qu'Anne aime Jacques.,Nakanisi ete Anne alingaki Jacques.
Anne est pom-pom girl.,Anne azali pom-pom girl na ngai.
Anne a un faible pour le chocolat.,Anne alingi sokolá mingi.
"Peu importe que nous soyons proches ou non, je ne peux pas lui demander de faire cela.","Elandi te soski toza baninga to te, nakoki te ko senga ye asala bongo."
"Hum. J'ai le sentiment que je vais me perdre, quelle que soit la route que je prenne.","Hum. Nazali koyoka lokola na kobunga, ata nazwi nzela nini."
M. et Mme. West sont en lune de miel.,Tata na Mama Ba West ba uti ko balana.
Eric est dans notre équipe de football.,Eric azali na lisanga ya biso ya ball ya makolo.
Hé ! Ta balle vient juste de casser ma vitre !,Hé ! Bale na yo euti kopanza tala-tala na ngai !
"Hé, attendez une minute. J'espère que vous n'essayez pas de me dire que vous n'allez pas me rendre mon argent.","Eh, zela ngonga moko. Nabanzi ozali komeka koyebisa ngai ete okozongisela ngai mosolo na ngai te."
"Pardonnez-moi de vous interrompre, mais pourriez-vous ouvrir la fenêtre.","Bolimbisi nakokata yo maloba, kasi okoki kofungola lininisa."
Carl semblait très heureux.,Carl azalaki lokola na esengo makasi.
L'irresponsabilité de Clara me rend dingue.,Kozanga mayele ya komeme yaye mikumba ya Clara azo silikisa nga makasi.
Mlle. Green m'a appris l'anglais.,Ndeko mwasi. Green ayekolisaki ngai anglais.
Grace arborait un regard indigné.,Grace atalaki ya esengo te.
Kate a eu l'occasion de jouer un rôle important dans un film.,Kate azwaki libaku ya kosala mosala makasi na film moko boye.
Kent est un meneur-né.,Kent abotama mokambi.
Gordon est intéressé par le mode de vie japonais.,Gordon a sepelisi na ndenge yako bika ya ba japonais.
"Entre nous, il a une maîtresse.","kati na biso, azali na likangu."
"Allô, c'est Tom à l'appareil. J'aimerais parler à Ann.","Allô, ezali Tom. Nakosengela nasolola na Anne."
Tous les pull-overs de ce type sont en rupture de stock en ce moment. Nous les commanderons à la boutique principale à Tokyo.,Bilamba ya malili ya lolenge oyo bisili nyonso na ngonga oyo. Tokosenga batindela biso misusu na babutiki ya monene na Tokyo.
Les problèmes de transport de notre ville sont minimes quand on les compare à ceux des capitales comme Londres et New York.,Makambo ya bikumbi na engumba na biso mazali moke soki tokokanisi yango na bingumba mokonzi lokola Londres mpe New York.
"La plupart des serpents, sur cette île, sont inoffensifs.","Ba nyoka mingi, na esanga oyo, bazali ya mabe te."
Une carte est fournie sur demande.,Carte moko epesamaki sima ya bosengi.
"Alors, écoutez le médecin, sinon vous n'irez pas bien.","Na yango, yoka monganga, soki te okokende mosika te."
Cette personne a eu un étrange sourire sur la figure pendant un instant. Que pensez-vous que cela cache ?,Moto oyo akomaki na esekelo moko ya kokamwisa na elongi na ye mpo na ngonga moke. Okanisi ezalaki kobomba nini ?
Sam aide quiconque lui demande.,Sam asungaka moto nyonso oyo asengaka ye lisungi.
Jeff pense qu'il ne tombera jamais amoureux.,Jeff akanisi ete akokweyisama ata mokolo moko te na bolingo.
"Un soir, cependant, lorsque Miss Baker revint au collège quelques minutes avant l'heure où tous les étudiants devaient être rentrés, elle trouva une voiture sur sa place de parking.","Kasi, mpokwa moko, ntango Miss Baker autaka na kelasi na ngonga moke liboso ya bayekoli nyoso basengelaki kozonga, azuaki mutuka moko na bisika na ye ya parkingi."
Jim est apprécié de tous ses copains de classe.,Jim andimami epayi ya baninga na ye ya kelasi.
Julie a reçu une carte de Noël de son frère en Italie.,Julia azwi mokanda ya Noel ewuti epayi ya ndeko na ye ya mobali azalaka na mboka Italie.
M. Joel est actuellement de service.,M. Joel azali kati ya musala sasaipi.
La Géorgie est son pays natal.,Géorgie ezali mboka naye bisika abotama.
George Bush est le 41e président des États-Unis.,George Bush azali tata mokambi ya tuku minayi na moko ya ekolo America.
Jon est beaucoup plus attirant que Tom.,Jon azali kitoko mingi koleka Tom.
John connaît l'histoire anglaise de A à Z.,John ayebi lisolo ya ba angalis kobanda ebandeli ti suka.
"Sors d'ici, tout de suite !","Bima awa, sikoyo!"
"Partez tout de suite, ou vous serez en retard.","Boloba sikoyo, soki te bokozala na sima."
Envoyez chercher le docteur tout de suite.,Botinda ete baluka munganga sikoyo.
Steve a reçu une lettre de Jane.,Steve ayambi mokanda ya Jane.
"Le Sphinx avait mangé des centaines de personnes en route pour la ville de Thèbes, parce qu'ils ne purent répondre à l'énigme astucieuse que le Sphinx leur demandait.","Sphnix aliaki kama ya bato na nzela mpo na engumba ya Thèbes, mpo ba kokaki te koyanola na mituna ya makasi oyo Sphinx asengaki."
S'il vous plait mettez-moi en relation avec Mr Smith.,Nabondeli bino bokutisa ngai na Mr Smith.
M. Smith a demandé Jane en mariage.,M. Smith asengi Jane libala.
"Désolé, mais tout cela s'est produit si soudainement que je n'ai pas encore pu me charger de la situation.","Natungisami, nyoso wana ekomaki penza na puwasa."
"Même si les deux garçons n'avaient pas aimé le partenaire de chacun au début, ils sont vite devenus amis.","Ata soki bana ya mibali mibale ya mikie bazalaki kolinga molongani ya moko moko te, bakomaki ba ninga na sima."
Le programme télé semblait vraiment intéressant.,Lonaka ya televizion emonaki lokola ya ko sepelisa penza.
"À l'époque Tony était au milieu de la soixantaine et encore capable de travailler dur, mais il avait un camion flambant-neuf, une nouvelle tondeuse, un ensemble d'autres équipements et trois personnes pour l'aider.","Na ntango wana, Tony azalaki pene pene na bamvula tuku motoba, kasi azalaki nanu na makasi ya mosala. Azalaki na motuka ya sika makasi, masini ya sika ya kokata matiti, bisaleli bisusu pe bato misato ya kosunga ye."
"Au cours de cet hiver, l'écriture a occupé l'essentiel de mon temps libre.","na hiver oyo, kokoma nde ezwaki mingi ya ba ngonga na ngai ya bopemi."
"Et pas seulement cela, les marchandises dans les magasins de la marque étaient en général plus chères que partout ailleurs.","Mpe wana te, na biloko na na kati ya likumba ezalaki kaka na prix ya makasi epai mosusu."
Je n'aurais jamais cru qu'il puisse faire une chose aussi horrible.,Nakokaki kondima te ete akokaki kosala eloko ya mabe boye.
Les troupes soviétiques ont commencé à se retirer d'Afghanistan.,Ba mampinga ya ba Russie ba bandi kolongwa na Afghanistan.
La plupart des employés attendent une augmentation de salaire une fois par an.,Basali mingi bazelaka bamatisela bango lifuta mbala moko na mobu.
La plupart des gens aiment regarder la telé.,Bato mingi balingaka kotala television.
Avez-vous lu l'article sur l'Asie dans le Time ?,Omekaki kotanga article ya Asie na ngonga?
"Même si tu pars loin, restons en contact par téléphone.","Ata zoki okeyi mosika, totikala nakombena na tshobo."
Danny n'a pas le sens de la beauté.,Danny ayebi makambo ya kitoko te.
Profitez de la soirée au bal.,Zwa litomba na limpati ya nteke.
Il s'est mis à pleuvoir pile poil quand j'ai voulu sortir.,Mbula ebandi kobeta makasi kaka ntango nalingi nabima.
John et Sue décidèrent enfin de couper la pomme en deux.,John mpe Sue bayokani bakata pome na biteni mibale.
Ne ronge pas tes ongles.,Koliyaliya manzaka na yo te.
Une année M et Mme Davis ont été invités à un réveillon de Noël dans un hôtel.,Mbula moko eleki Tata pe Mama Davis babyangemaki na butu ya eyenga ya mbotama ya Yesu na lotele.
Je veux une carte du Texas à l'échelle 1/250000e.,Nalingi kalati ya Texas na echelle 1/250000e.
J'aimerais voir M. Terry Tate.,Nalingaki komona Tata Terry Tate.
J'ai ouvert la porte et j'ai vu deux garçons debout l'un à côté de l'autre.,Nafongolaki porte mpe namoni mibali mibale yako telema moko pene ya mosusu.
Comment se fait-il qu'il déteste Molly ?,Ndenge nini ekomaki ete ayina Molly?
Personne ne sait exactement de combien de races se compose la population des États-Unis.,Moto moko te ayebi motuya ya ba lolenge ya bato oyo bazali kosala population ya États-Unis.
Son visage ovale était sa marque de fabrique.,Elongi na ye ya libungutulu ezalaki ndenge na ye ya kosalema.
"Malgré tous mes efforts, je ne pourrai pas rendre le rapport vendredi.","Ata kutu makasi nyonso nazali kosala, nakokoka te kopesa rapport na mokolo ya mitano."
Changez de train à Chicago pour New York.,Bozwa engunduka mosusu na Chicago mpo na kokende New York.
L'ail dégage une odeur forte.,Ayi epesaka nsolo ya makasi.
Hitler a pris le pouvoir en 1933.,Hitler azwaki bokonzi na mbula nkoto lyoko na nkama libwa ntuku misato na misato.
Brian a acheté un rouge à lèvres pour Kate.,Brian asombaki bokembisi eteke pona Kate.
Il semble que M. Brooke soit un homme honnête.,Namoni lokola M. Brooke azali mutu ya sembo.
Beth est une fille bizarre qui aime les serpents.,Beth azali mwana mwasi moko ya bokamwi oyo alingaka nyoka.
Benjamin tua un ours avec un fusil.,Benjamin abomi ours na munduki.
"À l'hôtel, vérifiez où est la sortie de secours avant d'aller au lit.","Na Ndako ya bapaya, Tala liboso esika nini ekuke ya kokima ezali yambo ya kolala."
Bob a dit à Jane de ne pas se mêler de ses affaires.,Bob alobi na Jane akota makambo na ye te.
"Monsieur White a dit qu'à cause de la convention, il n'y avait pas de salles libres.","Monsieur White alobi likolo ya mayangani, bisika ya polele ezalaki lisusu te."
Martha est une excellente pianiste.,Martha azali mobeti monene ya piano.
Martin Luther King Junior était le fils d'un pasteur noir.,Martin Luther King Junior azalaki mwana ya Pasteur ya lomposo mwindo.
Mike a appelé son chien Spike.,Mike abengaki mbwa na ye Spike.
"Les incendies sont moins effrayants aujourd'hui qu'ils ne l'étaient autrefois, parce que de plus en plus de maisons sont construites en béton et les maisons en béton ne brûlent pas aussi facilement que les maisons en bois.","Makama mazali kobangisa mingi te mikolo ya lelo lokola mazalaka na kala, pamba te ba ndako ekomi kotongama na béton mpe ba ndako ya béton mazikaka na pete te lokola ba ndako ya mabaya."
Au revoir !,Olele!
Maman et papa sont très nerveux.,Mama na papa bazali na nkanda makasi.
Combien de temps a vécu la civilisation maya ?,Mbula boni civilisation ya maya ewumelaki?
Le Dr Miller souhaite que vous patientiez quelques instants.,Munganga Miller alingi ozela mukie.
Meg est curieuse de tout connaître sur le Japon.,Meg azali na posa ya koyeba mingi na oyo etali Japon.
"Tout ce que vous devez faire, c'est tirer profit de cette occasion rare.","Nyonso bosengeli kosala, ezali kosalela eposa eye ezalaka mingi te."
Je n'ai pas assez de mémoire RAM.,Nazali na mayele mingi te ya RAM.
J'ai abandonné tout espoir de survie.,Nabungisi elikya nyonso yakotikala lisusu na bomoyi.
"Vous seriez arrivés un peu plus tôt, vous auriez pu la rencontrer.","Okomaka liboso mwa moke, mbele okutaki ye."
"Un motel ressemble à un hôtel, mais c'est plus petit et utilisé principalement par des gens qui voyagent en voiture.","Motel ezali lolenge moko na hotel, kasi ezali moke pe baye basalelaka yango ezali mingi bato baye basalaka mobembo na motuna."
Les Américains auraient répondu différemment des Japonais.,Bana ya Amerika bakokaki ko yanola na bokeseni na bana ya Japon.
"Hé ! Je ne m'attendais pas à te rencontrer ici ! Le monde est petit, n'est-ce pas ?","He ! Nabanzaki te ete nakokutana na yo awa ! Mokili ezali mokie, bongo te ?"
"Finalement, il fut décidé que les magasins seraient équipés de caméras de surveillance.","Suka-suka, ezuwamaki ete ba magasins eko tiyama na ba caméras de surveillance."
"Comme c'est souvent le cas, Henry n'était pas chez lui.","Lokola ezalaka ntango nyonso, Henry azalaki epai na ye te."
Los Angeles est la deuxième plus grande ville des États-Unis.,Los Angeles ezali bongo ville ya miballe ya monene ya engumba ya America.
Je commence à comprendre.,Nabandi kososola.
"À vos marques, prêts, partez !","Na bilembo, kotala, kende!"
Le moindre mot de critique la rend nerveuse.,Liloba moko kaka ya kotonga ekomisaka ye nkanda.
Laissez toujours la priorité aux véhicules venant de droite.,Botika mituka mazali kowuta na loboko ya mobali baleka liboso.
Un rat traversa la route.,Mpuku moko akatisi na nzela.
J'ai dû payer une forte somme pour le récupérer.,Nafutaki mbongo ebele mpo na kozwa ye.
"Si possible, les Japonais semblent préférer choisir un conjoint qui leur ressemble, chercher une situation stable qui assure une promotion lente mais régulière et mettre leurs économies à la banque.","Soki ekoki kosalema, ba Japonais balingaka kopona balongami oyo bakokani na bango, koluka lolenge moko ya kimia oyo ekowumela mpe komatisa mutu malembe malembe kasi malamu mpe kotia nkita na bango na banque."
"Ouvre la fenêtre, on meurt de chaud ici.","Fongola lininisa, tozali kokufa na moto awa."
J'ai vu un cheval tirant une carriole.,Mamoni mpunda komema pusu-pusu.
Je lis le New York Times.,Na tangaka New York Times.
Notre ville n'a pas encore l'eau courante.,Engumba na biso ezwi naino mayi ya malamu te.
Nous n'avons pas encore planifié nos vacances.,Tobongisi naino te bopemi na biso.
Martin Luther King Junior avait convaincu les citoyens noirs de manifester pacifiquement.,Martin Luther King Junior andimisaki batu ya mboka ya moindo na ko tambola na boboto.
Joyeux Halloween !,Feti ya Halloween elamu!
Terry a été très heureux d'apprendre cette nouvelle.,Terry azalaki ya ko sepela mingi na yoka sango ena.
Regarde ces nuages noirs.,Tala mapata muhindo oyo.
Sais-tu qui est cette grande fille blonde habillée en vert ?,Oyebi engambe ya mwana mwasi oyo ya mpembe alati bilamba ya langi ya mayi ya pondu soki azali nani ?
Il évoque souvent ses souvenirs de l'époque du lycée.,A betelaka biso lisolo ya ekundoli naye ya tango azalaki ko tanga.
"Compte tenu de son intérêt pour les enfants, je suis certain que l'enseignement est la carrière idéale pour elle.","Nako landa litomba pona bana mike, naza na ko ndima ete liyekoli ezali musala oyo esengeli na ye."
Un lis blanc est vraiment magnifique à regarder.,Mbeto ya mpembe ezali mpenza kitoko na kotala.
Ils ont tourné le film dans un vrai désert.,Basalaki film na bisika bi kawuka ya solo.
Il a essayé de récupérer son manque de sommeil en faisant un somme.,A mekaki ko lala muke pona ko zongela bozangi bua ye bua pongi ya moke.
Du poisson s'il vous plaît.,"Yaka na mbisi, soki osepeli."
Ma sœur travaille à l'ambassade des États-Unis à Londres.,Ndeko na ngai ya muasi asalaka na ambassade ya États-Unis na Londres.
"J'ai de la viande, du fromage et des tomates dans mon sandwich.","Nazali na mosuni, fromage mpe tomate na kati ya sandwish."
Je ne peux pas lui pardonner de m'avoir insulté en public.,Nakoki kolimbisa ye te pona lolenge afingi ngai na esika ya bato ebele.
J'étais si pressé que j'ai oublié de fermer la porte à clé.,Nazalaki penza mbangu ete nabosanaki kokanga ezibeli na fungola.
Jim regarda à droite et à gauche avant de traverser la rue.,Jim atalaki na loboko ya mobali mpe na oyo ya mwasi yambo ya kokatisa nzela.
S'il vous plait demandez à la secrétaire de stocker les fournitures de bureau à la réserve.,Bokoki ko senga na secrétaire abomba biloko ya bureau na esika ya ebombelo.
Mon oncle s'est porté garant de mes dettes.,Noko na ngai andimaki ete akofuta ba niongo na ngai.
N'oubliez pas de couper le gaz avant de sortir.,Kobosana te ko kanga gaz liboso ya kobima.
N'oubliez pas d'éteindre le gaz en sortant.,Kobosana te koboma moto yambo ya kobima.
La valeur des livres était telle qu'on en prenait le plus grand soin.,Motuya ya buku ezalaki na lolenge ete bazalaki kobatela yango makasi.
Un major est au-dessus d'un capitaine.,Major azalaka likolo ya capitaine.
"Restez en ligne, s'il vous plaît.","Tikala na nzela ya nsinga, tosengi na yo."
Mon cœur bat tellement fort qu'il semble vouloir éclater.,Motema na ngai ezali kobeta makasi mingi lokola elingi kopanzana.
N'aie pas peur d'essayer de nouvelles choses.,Ko banga te to meka biloko ya sika.
Un uniforme élimine-t-il les différences de classes sociales ?,Sokoto ezali kolongola bokeseni okati ya bayi ekolo?
"Selon les astres, nous ne sommes pas compatibles.","Na ndenge ya minzoto, tokokani te."
Il a la réputation d'être intègre. Il ne serait jamais impliqué dans de la corruption.,Ayebani lokola moto ya sembo. Akoki soki moke te kokota na makambu ya moyibi.
Le savon aide à enlever la saleté.,Sabuni esungaka mpo na kolongola bosoto.
"C'est à propos de mon mari, docteur ; il dort très mal.","Ezali mpo na mobali na ngai, monganga, azali kolala mabe makasi."
"Pendant la guerre, l'Amérique a essayé d'arrêter le commerce avec l'Angleterre.","na ntangu ya bitumba, America amekaki kokata mombongo na Angleterre."
Un capitaine est chargé de ce bateau et de son équipage.,Mokumbi masuwa azali na bokonzi likolo ya masuwa mpe ya basali o kati ya masuwa.
Tout ce que tu fais c'est d'essayer d'échapper à la réalité.,Nyoso ozali kosala ezali kokima bosolo.
Merci de m'avoir envoyé une belle lettre.,Matondo pona ndenge otindelaki ngai mokanda kitoko.
Une carte était attachée au cadeau.,Kalati ekangamaki na libonza.
"Après la construction d'une ou deux grandes usines aux abords ou dans une ville, les gens viennent chercher du travail et bientôt, une zone industrielle commence à se développer.","Nsima ya ko tonga moko to bisalelelo ya minene mibale na ndelo, to na kati ya engumba, batu baye ko luka misala, na muke ndámbo ya etando monana ekoli."
Les gens ne vous disent-ils pas que vous ressemblez à Audrey Hepburn ?,Bayebisaka yo te ete okokani na Audrey Hepburn?
Les heures perdues au sol annulent l'avantage de la vitesse de croisière.,Bolekisi ntangu na mokili esilisaka ntina ya mbangu oyo masuwa ezali na yango.
"Ouvre ton sac s'il te plait, que je puisse voir ce qu'il y a dedans.","Fongola sac na yo nasengi yo, namona nini ezali na kati."
Mon mari est un expert dès qu'il s'agit de cuisiner chinois.,Mobali na ngai azali makasi soki esengeli kolamba bileyi ya ba chinois.
N'importe quel appartement ira tant que le loyer est raisonnable.,Ndako ata nini ekozala soki mbongo ya ndako ekanisami malamu.
L'électricité a rendu les bougies peu utiles dans nos vies.,Lotiliki ekomisi minda ya mafuta tina te na bomoyi na biso.
Ne bouge pas ou je te tue.,Koningana te to nabomi yo.
"Sauf exceptions, tout le monde est autorisé à entrer dans l'immeuble.","Loba mobeko mususu ekweya, bato nyonso bazali na ndingisa ya kokota na immeuble."
"Soudain, le niveau de la rivière est monté et elle est sortie de son lit.","Na mpwasa, mosanda ya mayi ya ebale emataki mpe elongwaki na mbeto na yango."
Le Japon se situe en Asie Orientale.,Japon ezali na Asie Orientale.
"Une des différences les plus importantes entre les Américains et les Japonais est que les Japonais ont tendance à choisir une vie sans danger, alors que les Américains explorent la vie et la défient.","Moko ya ba bokeseni ya motuya koleka mazali kati ya ba Américains na ba Japonais ezali ete ba Japonais basalaka ndeti ba pona bomoi ezanga mutungisi, kasi ba Américains bakotaka na mozingo ya bomoi mpe batiaka ntembe na bomoi."
Il devait son succès autant à son habileté qu'à son application.,Kolonga naye ezalaki kowuta na bompikiliki mpe komipesa naye na mosala.
Je lui passerai ce message dès qu'il arrivera.,Na lekisela ye nsango kaka tango akomi.
"Il tient un journal intime, et cela m'a encouragé à faire pareil, mais en anglais.","Asimbi mokanda ya sekele, mpe yango epesaki ngai makasi yako sala lolenge wana, kasi na lokota ya anglais."
Il peut le faire beaucoup mieux que moi.,Akoki kosala yango malamu koleka ngai.
"Je me souviens de son visage, mais je ne peux pas me souvenir de son nom.","Nakutoli elongi naye, kasi nabosani kombo naye."
Il a composé l'histoire.,Akomaki lisolo.
Il fut élevé au rang de colonel il y a deux ans.,Anetolamaki na molongo ya colonel eleki mibu mibale.
"Il fut fatigué d'être l'avocat du diable et maintenant accepte chaque idée qu'ils proposent, peu importe qu'elle soit idiote.","Alembaki kozala molobeli ya satana mpe sikaawa ndima makanisi nyoso azali kopesa, ata soki ezali yabolema."
Les différences entre les histoires des deux parties impliquées dans l'accident étaient si grandes que les autorités ont eu du mal à décider qui disait la vérité.,Bokeseni na kati ya maloba ya ngambo mibale basalaki accidentezalaki makasi mingi kino ete bakonzi bazalaki na pasi mpona kozwa mokano likolo ya moto azalaki koloba solo.
Il viendra bientôt.,Akoya sikawa.
Il posa le livre sur la table.,Akitisaki buku likolo ya mesa.
Il tient un journal en anglais.,Asimbi zunale moko ya angele
Il prit un stylo dans sa main.,Akamataki ekomeli na loboko na ye.
Il se met parfois en colère pour rien.,Asilikaka ntango mosusu mpamba.
Il occupe un poste important dans la société.,Azali na mosala ya motuya okati lingomba.
Il a donné un faux nom et une fausse adresse à la police.,Apesaki nkombo mpe adresi ya lokuta na bapolisi.
Il rentra à la maison en passant par Hong Kong.,Azongaki ndako koleka na nzela ya Hong Kong.
Il me demanda si je connaissais son père.,Azali kotuna ngai soki nayebaki tata na ye.
"Il avait dit qu'il m'écrirait, mais il n'en fut rien.","Alobaki ete ako komela ngayi, kasi asalaki eloko te."
Il m'appelle Pete.,Abengaka ngai Pete.
Il a rentré sa voiture en marche arrière dans le garage.,Akotisi motuka na bozongi nsima na kati ya garage.
Il a été promu au rang de sergent.,Ba matisi ye na mompete ya seleza.
Il a été assez gentil pour m'offrir une boisson froide.,Azalaki na boboto mingi mpo na kopesa ngai masanga ya mpiyo.
J’aurais aimé qu’il aille à l’université.,Nalingaki ete akende na eteyelo ya likolo.
"En grandissant, il apprit à mettre les choses en perspective.","Ndenge azali kokola, ayekoli kobongisa makambo."
"Dix minutes après qu'ils aient passé Nara, l'auto s'est retrouvée sans essence.","Sima ya monuti zomi na boleki Nara, motuka ezangaki esasi."
Un an a passé depuis qu'elle est venue ici.,Mbula moko eleki tango ayaki awa.
